,Location Name,City,DOE Need (with Truancy),Crime,Obesity,6-8 attendance,Need Score,Latitude,Longitude
102,102,0,44,28,83,8,99,32.96,-100.331
103,103,0,96,3,31,25,2,32.272,-102.376
104,104,1,16,60,85,14,72,32.941,-102.108
105,105,3,89,32,98,47,21,32.24,-100.513
106,106,5,91,14,99,20,39,31.221,-100.63
107,107,0,39,73,86,48,50,32.928,-100.072
108,108,1,9,75,88,80,31,31.208,-100.145
109,109,2,87,76,15,72,100,31.084,-101.578
110,110,4,54,84,47,8,64,32.326,-101.603
111,111,0,53,62,13,55,46,32.301,-101.117
112,112,5,19,55,22,93,66,32.977,-100.336
113,113,2,78,68,99,61,59,31.892,-100.006
114,114,4,34,41,31,11,35,32.805,-101.154
115,115,1,96,59,72,78,85,31.776,-101.623
116,116,0,63,41,23,62,27,31.726,-101.942
117,117,2,35,76,89,35,71,31.02,-100.884
118,118,1,10,30,92,52,62,32.137,-102.016
119,119,5,60,82,91,62,57,32.623,-102.93
120,120,0,37,28,51,88,31,31.627,-100.281
121,121,4,47,60,70,67,44,31.871,-100.746
122,122,2,45,89,58,34,39,31.514,-102.056
123,123,0,92,24,40,15,95,32.097,-100.174
124,124,1,24,27,94,61,35,32.483,-100.586
125,125,4,76,36,12,24,37,31.465,-101.522
126,126,1,38,1,90,68,16,31.561,-102.814
127,127,0,70,37,89,16,81,32.778,-100.99
128,128,0,1,73,36,60,61,31.902,-101.605
129,129,1,6,32,61,14,8,31.82,-100.986
130,130,0,73,80,87,6,19,31.305,-100.695
131,131,2,10,31,15,71,97,31.852,-100.517
132,132,4,79,28,99,66,48,31.922,-101.187
133,133,2,75,54,39,72,79,31.123,-100.503
134,134,5,12,97,26,80,27,31.541,-100.295
135,135,0,20,30,22,70,9,31.32,-102.99
136,136,3,57,88,76,60,37,31.066,-102.052
137,137,2,90,36,89,58,9,32.407,-102.044
138,138,2,100,80,75,84,25,31.87,-102.53
139,139,4,28,82,19,34,18,31.146,-102.756
140,140,1,39,76,95,72,36,31.899,-102.491
141,141,3,88,38,89,51,34,32.024,-100.789
142,142,3,56,10,76,5,55,32.504,-101.68
143,143,4,32,3,11,29,86,32.712,-100.644
144,144,4,2,97,86,34,73,31.082,-102.283
145,145,3,66,83,56,35,23,32.198,-101.215
146,146,5,62,11,60,44,52,31.682,-101.685
147,147,5,13,20,42,52,88,32.014,-101.82
148,148,5,51,97,70,4,58,31.18,-101.712
149,149,2,41,14,98,51,65,32.689,-102.996
150,150,5,69,59,52,6,24,32.061,-101.519
151,151,4,96,63,80,56,97,31.105,-102.167
152,152,2,70,16,36,56,89,31.992,-102.503
153,153,0,80,77,30,90,20,31.636,-100.744
154,154,0,70,52,11,28,14,31.945,-102.519
155,155,5,19,63,91,37,65,32.444,-101.881
156,156,3,61,60,31,58,70,31.296,-101.429
157,157,1,76,65,95,17,8,31.565,-101.301
158,158,2,100,64,34,0,36,32.486,-101.778
159,159,4,74,84,62,19,57,32.103,-101.017
160,160,2,42,70,97,69,48,31.932,-101.682
161,161,1,89,30,73,49,29,32.753,-101.318
162,162,0,40,95,60,90,48,31.79,-100.282
163,163,5,19,63,4,16,64,32.977,-100.583
164,164,2,12,56,12,67,58,31.031,-100.041
165,165,1,52,83,19,9,60,32.6,-101.915
166,166,2,79,88,50,83,10,32.744,-101.655
167,167,5,68,48,40,80,91,32.817,-101.002
168,168,4,4,79,8,30,80,32.401,-101.823
169,169,1,95,11,55,12,97,32.297,-100.117
170,170,0,56,21,88,38,3,31.094,-101.672
171,171,0,37,45,47,55,18,31.5,-100.825
172,172,3,72,87,23,21,22,31.161,-100.504
173,173,3,79,87,30,63,74,31.293,-102.049
174,174,3,81,32,58,32,85,31.019,-101.095
175,175,2,86,69,20,9,56,32.935,-101.585
176,176,4,38,81,54,88,32,31.935,-101.763
177,177,1,49,61,13,30,48,32.171,-101.53
178,178,4,37,89,37,2,84,31.81,-101.876
179,179,0,72,87,99,95,6,32.864,-100.517
180,180,5,63,36,99,29,77,32.642,-101.557
181,181,1,81,24,79,32,86,32.547,-100.048
182,182,5,87,17,80,12,80,32.323,-102.839
183,183,2,100,56,4,74,46,32.499,-102.462
184,184,0,37,41,95,53,22,31.411,-102.459
185,185,4,46,67,64,34,21,31.526,-101.027
186,186,2,95,43,14,59,9,31.288,-102.076
187,187,5,92,86,50,71,46,31.184,-101.384
188,188,0,33,68,15,58,47,32.377,-100.247
189,189,2,74,48,81,47,13,32.382,-102.043
190,190,3,3,79,71,41,78,31.453,-100.348
191,191,0,81,59,89,38,83,31.836,-102.523
192,192,1,5,4,38,63,14,31.199,-102.039
193,193,4,17,49,58,47,85,32.944,-100.148
194,194,4,53,75,95,93,19,32.813,-101.301
195,195,5,12,62,78,52,35,31.067,-100.173
196,196,2,27,56,56,30,46,31.203,-100.192
197,197,2,69,82,45,7,50,31.565,-102.223
198,198,0,58,11,84,27,82,32.309,-100.555
199,199,0,6,100,42,31,16,32.611,-100.688
200,200,1,8,97,70,26,75,31.442,-102.046
201,201,2,99,18,100,76,0,31.567,-102.408
202,202,1,69,32,22,14,84,32.774,-102.895
203,203,1,1,45,100,30,75,31.663,-102.936
204,204,1,33,6,16,94,53,32.077,-102.535
205,205,5,8,60,57,99,46,32.051,-100.569
206,206,0,57,64,28,78,5,32.489,-100.302
207,207,4,38,58,82,3,7,31.98,-101.355
208,208,3,87,13,62,91,56,31.15,-102.67
209,209,2,77,18,8,16,35,32.278,-100.407
210,210,4,70,91,41,48,76,32.086,-101.793
211,211,3,64,77,55,12,89,31.234,-100.319
212,212,5,98,70,92,27,55,31.924,-102.065
213,213,3,43,58,51,53,93,31.194,-101.72
214,214,3,40,85,32,47,19,32.406,-101.058
215,215,0,11,10,11,55,12,32.524,-101.474
216,216,1,71,7,75,71,71,31.675,-100.256
217,217,0,52,45,85,96,54,32.777,-100.047
218,218,0,36,76,39,45,13,32.183,-100.922
219,219,1,19,84,61,28,13,31.717,-100.722
220,220,2,14,97,35,73,28,32.653,-101.243
221,221,4,98,79,78,86,82,32.14,-102.893
222,222,4,84,88,34,3,23,31.559,-100.122
223,223,2,43,44,0,23,18,32.159,-100.308
224,224,3,8,18,94,81,3,31.187,-100.828
225,225,1,48,53,58,43,20,31.757,-101.724
226,226,5,41,99,72,76,10,32.809,-102.785
227,227,1,20,96,79,6,86,31.167,-101.886
228,228,3,84,54,62,77,56,31.848,-101.882
229,229,1,96,65,14,44,55,31.227,-101.84
230,230,5,86,75,62,67,85,31.631,-102.814
231,231,1,50,76,7,0,26,31.617,-102.135
232,232,1,97,32,37,41,15,31.015,-100.963
233,233,5,55,22,16,48,68,32.441,-102.058
234,234,4,71,85,45,9,50,32.764,-102.827
235,235,3,2,58,9,40,73,31.879,-100.652
236,236,3,90,81,53,37,14,31.829,-102.915
237,237,2,21,79,58,88,46,31.18,-101.212
238,238,0,31,55,75,51,67,31.161,-101.379
239,239,2,95,43,28,42,99,31.344,-102.688
240,240,4,81,14,67,65,24,32.855,-101.569
241,241,2,93,82,18,30,13,31.299,-101.952
242,242,1,22,77,19,97,97,32.342,-102.692
243,243,1,98,80,63,59,96,32.154,-100.627
244,244,3,87,72,82,81,79,31.661,-100.431
245,245,2,19,56,8,60,56,32.293,-101.76
246,246,2,75,7,45,64,9,31.635,-101.109
247,247,3,4,7,47,36,9,32.32,-102.631
248,248,4,76,64,49,59,74,32.135,-102.832
249,249,3,73,83,24,41,77,31.974,-100.947
250,250,1,7,57,13,43,91,31.172,-100.934
251,251,5,22,5,31,90,56,31.899,-100.854
252,252,4,78,20,46,47,36,31.793,-101.326
253,253,2,86,76,6,80,82,31.685,-102.731
254,254,2,12,71,86,49,36,31.516,-100.036
255,255,5,77,19,42,10,74,32.359,-102.421
256,256,2,39,83,89,84,50,31.264,-100.563
257,257,5,10,39,71,48,82,32.621,-101.655
258,258,1,85,89,94,87,67,31.191,-100.354
259,259,5,54,65,46,2,46,31.632,-102.262
260,260,1,43,98,62,24,28,31.281,-102.366
261,261,0,37,100,12,64,98,32.105,-100.844
262,262,0,84,43,98,79,16,32.223,-101.457
263,263,1,20,23,88,98,79,32.656,-102.322
264,264,5,56,5,52,46,86,32.473,-102.028
265,265,3,78,36,96,95,100,31.919,-102.042
266,266,4,30,39,100,60,24,31.753,-100.222
267,267,4,56,59,98,36,99,31.782,-100.941
268,268,4,53,20,25,77,17,32.787,-101.976
269,269,0,82,61,47,70,13,32.456,-100.887
270,270,0,36,10,97,20,34,31.92,-100.898
271,271,1,55,11,28,57,44,32.905,-102.891
272,272,3,6,50,64,47,30,31.79,-102.666
273,273,2,28,3,40,12,91,32.331,-101.627
274,274,1,17,4,36,60,89,32.702,-102.432
275,275,5,60,57,78,0,10,31.038,-101.952
276,276,1,19,70,93,77,67,31.866,-102.545
277,277,2,30,38,15,6,30,31.859,-100.383
278,278,4,58,8,14,63,76,32.097,-102.933
279,279,5,65,73,30,91,18,31.596,-101.242
280,280,0,78,45,30,73,53,31.383,-100.279
281,281,5,10,67,46,8,67,32.114,-100.922
282,282,4,70,2,49,60,5,32.301,-101.416
283,283,2,32,95,2,45,100,31.138,-101.588
284,284,1,93,84,80,13,98,32.191,-101.639
285,285,1,5,45,69,43,82,31.358,-100.196
286,286,3,89,61,80,23,17,31.129,-100.068
287,287,3,4,37,25,5,25,32.814,-102.829
288,288,2,39,65,50,69,60,31.518,-102.851
289,289,5,24,36,45,99,6,32.773,-100.315
290,290,2,34,15,47,55,51,32.522,-101.199
291,291,3,43,23,63,88,63,31.752,-100.874
292,292,2,10,93,54,10,55,32.233,-102.261
293,293,4,37,41,13,10,41,32.353,-101.79
294,294,2,57,77,91,54,21,32.412,-101.182
295,295,2,57,5,93,45,78,31.89,-101.876
296,296,5,7,9,85,81,51,31.744,-100.899
297,297,5,86,20,3,18,77,32.388,-101.206
298,298,0,16,8,30,99,82,31.75,-101.517
299,299,3,72,4,77,19,86,31.921,-101.481
300,300,2,56,97,9,73,17,32.084,-101.497
301,301,3,40,83,35,31,14,31.053,-102.238
302,302,3,66,49,71,15,33,32.587,-101.934
303,303,5,57,27,78,36,88,32.876,-100.989
304,304,1,15,17,9,57,22,32.84,-100.079
305,305,3,11,87,40,85,44,32.453,-102.735
306,306,4,69,37,38,20,91,32.453,-100.132
307,307,5,22,46,65,28,15,31.411,-102.432
308,308,1,63,3,46,70,73,31.755,-101.086
309,309,4,16,78,11,8,39,31.815,-100.064
310,310,5,61,67,52,98,52,32.686,-100.646
311,311,0,16,40,82,9,57,31.954,-100.215
312,312,4,44,16,99,70,81,32.203,-102.255
313,313,1,55,64,7,15,66,31.313,-101.755
314,314,1,20,41,90,28,44,32.94,-100.875
315,315,2,10,32,25,81,70,31.562,-102.488
316,316,5,38,78,68,11,64,32.312,-102.31
317,317,4,74,19,21,84,79,32.475,-100.522
318,318,2,72,5,3,10,5,32.942,-100.373
319,319,4,33,83,26,98,73,31.853,-100.469
320,320,5,3,63,80,69,37,32.314,-101.763
321,321,3,31,87,51,38,58,31.149,-100.18
322,322,0,20,56,53,61,59,31.417,-101.607
323,323,4,18,40,91,40,93,32.762,-101.586
324,324,3,16,97,47,65,71,31.217,-101.693
325,325,1,59,15,34,57,31,31.288,-102.604
326,326,0,37,49,78,53,31,32.971,-102.346
327,327,2,73,92,40,24,97,31.326,-100.96
328,328,4,59,63,39,63,2,31.184,-101.39
329,329,4,58,30,27,74,45,31.099,-102.793
330,330,2,63,76,83,86,60,31.585,-100.802
331,331,0,13,55,17,33,93,31.749,-101.349
332,332,2,5,51,6,72,71,31.398,-101.516
333,333,4,36,9,49,64,57,32.565,-100.748
334,334,2,79,87,78,15,16,32.996,-102.604
335,335,3,47,43,71,46,96,31.295,-102.185
336,336,4,65,51,64,5,5,31.079,-102.439
337,337,5,42,60,66,58,19,32.241,-100.889
338,338,1,41,78,40,20,50,32.262,-101.775
339,339,4,43,64,65,68,62,32.451,-100.695
340,340,2,60,2,47,42,86,31.224,-101.294
341,341,4,39,92,88,80,3,32.222,-101.057
342,342,2,83,100,99,74,73,31.466,-100.046
343,343,0,74,61,21,67,80,32.476,-100.462
344,344,3,18,87,31,4,73,32.941,-100.131
345,345,0,24,2,56,40,53,31.31,-101.309
346,346,5,26,52,64,99,78,32.885,-101.069
347,347,5,93,7,90,17,66,31.424,-100.703
348,348,2,84,61,67,48,40,32.959,-102.291
349,349,3,68,43,69,45,86,32.581,-100.048
350,350,5,82,88,33,78,61,31.393,-101.991
351,351,2,71,38,28,38,98,31.591,-100.113
352,352,1,88,90,62,40,61,31.714,-100.705
353,353,5,35,36,15,73,86,32.112,-101.445
354,354,3,44,98,18,37,5,31.589,-100.075
355,355,0,44,56,83,32,95,31.981,-102.124
356,356,1,68,34,71,89,34,31.281,-102.553
357,357,4,94,75,30,31,6,32.371,-100.825
358,358,1,81,29,6,12,52,31.676,-100.062
359,359,3,12,87,98,17,0,32.975,-100.746
360,360,1,52,83,60,61,83,31.408,-101.824
361,361,2,36,82,7,98,11,32.335,-100.649
362,362,1,68,94,92,4,22,31.855,-102.28
363,363,0,50,100,63,23,95,32.97,-101.815
364,364,0,1,38,72,77,13,32.901,-101.628
365,365,2,58,82,69,67,63,32.821,-102.451
366,366,4,59,34,24,14,42,31.332,-100.006
367,367,3,82,32,91,23,1,32.508,-101.62
368,368,2,72,86,96,24,22,32.251,-100.384
369,369,3,54,65,41,11,51,32.37,-102.61
370,370,1,17,61,41,31,0,31.534,-101.429
371,371,1,57,96,34,42,38,32.192,-100.04
372,372,4,1,33,83,46,88,31.483,-102.746
373,373,5,15,59,39,20,51,32.405,-100.942
374,374,5,98,39,88,15,81,32.876,-101.792
375,375,2,78,28,28,17,61,31.313,-101.137
376,376,5,77,47,53,89,70,32.869,-101.072
377,377,4,85,27,97,31,87,32.545,-100.56
378,378,0,67,57,67,90,46,31.159,-100.69
379,379,0,7,70,64,25,73,32.099,-102.387
380,380,1,41,66,56,14,87,31.42,-100.064
381,381,4,62,11,65,57,7,31.928,-102.46
382,382,4,53,58,72,7,71,31.946,-100.245
383,383,2,92,2,50,32,0,32.527,-102.108
384,384,4,9,5,54,44,89,31.13,-100.784
385,385,0,8,60,4,36,52,31.368,-102.446
386,386,5,93,82,53,47,48,31.918,-101.454
387,387,3,10,87,84,69,17,32.338,-101.576
388,388,0,22,68,50,67,16,32.49,-102.088
389,389,0,96,2,38,59,86,32.472,-100.77
390,390,3,68,48,29,31,58,31.708,-102.365
391,391,2,24,92,97,14,4,32.657,-100.296
392,392,3,78,98,2,30,26,31.137,-102.587
393,393,4,4,57,76,86,90,32.786,-102.801
394,394,1,94,5,51,56,29,32.105,-102.111
395,395,0,17,64,37,29,93,32.179,-101.694
396,396,4,76,98,86,41,30,31.618,-102.414
397,397,5,66,28,52,38,35,31.124,-100.72
398,398,4,94,22,80,86,54,32.138,-100.97
399,399,0,44,82,85,48,100,32.074,-101.695
400,400,5,53,52,19,38,48,31.376,-100.797
401,401,3,30,28,38,90,18,32.65,-101.104
402,402,0,71,52,53,71,67,31.274,-101.41
403,403,1,32,26,42,82,10,32.888,-101.158
404,404,2,11,68,92,24,6,31.549,-101.456
405,405,5,77,77,5,9,24,32.647,-100.594
406,406,5,85,71,27,61,26,32.78,-101.637
407,407,2,1,27,24,94,15,32.529,-101.039
408,408,1,89,77,90,26,50,32.874,-102.02
409,409,4,41,99,36,48,59,32.092,-100.343
410,410,2,39,33,46,65,63,31.954,-102.597
411,411,5,60,97,40,26,47,31.64,-101.305
412,412,0,72,28,94,18,2,31.534,-100.734
413,413,4,74,92,53,37,19,31.401,-101.649
414,414,1,48,72,31,63,70,32.34,-100.195
415,415,2,32,97,62,92,82,32.514,-100.991
416,416,3,21,93,45,21,17,32.475,-100.762
417,417,3,23,69,82,7,67,31.069,-102.696
418,418,5,6,97,0,52,17,32.725,-100.417
419,419,1,8,90,19,1,27,32.035,-101.133
420,420,2,7,79,81,85,78,32.869,-101.021
421,421,5,62,2,0,68,70,31.842,-102.952
422,422,0,67,92,35,68,36,31.035,-100.943
423,423,5,86,55,22,13,12,32.073,-102.391
424,424,1,24,79,67,32,45,31.547,-101.375
425,425,0,47,51,58,72,31,32.427,-102.075
426,426,2,87,10,83,83,97,31.064,-102.618
427,427,3,48,48,70,60,7,32.304,-102.962
428,428,5,21,10,63,55,82,32.606,-101.644
429,429,4,12,67,5,29,27,32.845,-100.165
430,430,4,60,34,5,9,87,32.895,-101.852
431,431,4,72,84,4,22,40,31.032,-102.152
432,432,4,18,96,91,50,9,31.612,-102.335
433,433,4,30,72,49,86,69,31.679,-101.428
434,434,5,17,88,92,10,64,32.526,-101.584
435,435,0,12,55,29,9,43,32.239,-100.486
436,436,4,50,99,41,3,81,31.559,-101.155
437,437,3,29,45,70,48,55,31.38,-100.216
438,438,4,84,48,10,98,79,31.604,-101.991
439,439,5,9,10,34,19,48,32.457,-100.404
440,440,1,94,49,40,46,13,31.187,-102.979
441,441,2,56,46,97,34,13,31.271,-102.643
442,442,1,55,57,71,71,65,31.835,-102.577
443,443,0,11,45,70,11,76,32.224,-101.672
444,444,3,1,37,52,49,99,31.173,-100.032
445,445,4,31,73,66,21,87,31.779,-102.306
446,446,1,34,38,34,63,18,31.129,-102.316
447,447,3,35,53,38,61,100,31.157,-101.521
448,448,2,31,92,80,63,76,32.262,-102.2
449,449,3,13,17,38,0,50,31.68,-100.46
450,450,3,42,56,42,55,83,32.995,-100.566
451,451,1,38,41,77,88,25,31.981,-101.714
452,452,1,50,40,37,94,88,32.296,-100.989
453,453,4,100,31,41,48,35,32.672,-101.391
454,454,2,14,72,25,75,69,31.368,-100.208
455,455,4,3,93,59,90,26,31.897,-101.807
456,456,5,8,52,86,63,17,32.297,-101.76
457,457,1,32,84,19,91,54,32.616,-101.456
458,458,0,57,76,61,74,51,32.094,-100.925
459,459,5,53,69,4,46,89,32.833,-100.801
460,460,4,81,10,13,98,31,32.346,-100.278
461,461,2,21,82,78,5,72,32.321,-100.226
462,462,5,51,96,42,55,13,31.021,-102.597
463,463,2,28,65,95,66,71,32.188,-100.184
464,464,4,28,57,47,50,59,32.581,-100.217
465,465,4,88,64,19,44,3,31.988,-102.572
466,466,2,53,10,14,93,18,31.713,-101.723
467,467,2,58,100,26,66,61,31.713,-101.05
468,468,0,56,92,89,57,40,31.137,-101.771
469,469,0,90,14,2,43,82,31.223,-100.227
470,470,1,94,31,66,22,70,31.327,-101.645
471,471,4,54,59,29,51,80,31.377,-102.237
472,472,5,84,55,50,3,94,32.257,-102.192
473,473,3,75,54,49,0,90,31.439,-102.158
474,474,2,96,90,8,73,13,32.637,-100.801
475,475,1,46,41,25,58,14,31.537,-100.253
476,476,3,67,81,40,76,49,32.251,-101.393
477,477,4,14,44,45,58,79,31.353,-100.241
478,478,5,38,78,75,10,86,31.274,-101.718
479,479,0,30,39,14,23,47,32.42,-102.421
480,480,4,49,53,76,17,73,31.785,-101.268
481,481,1,62,81,68,88,82,32.906,-102.291
482,482,4,21,62,36,17,23,31.644,-101.153
483,483,4,6,45,1,62,17,31.399,-101.428
484,484,4,64,83,63,52,87,32.007,-101.298
485,485,5,56,62,21,10,72,31.063,-102.097
486,486,2,4,35,28,68,36,31.344,-101.127
487,487,4,95,98,98,63,70,32.046,-102.537
488,488,4,14,34,99,69,46,32.11,-102.83
489,489,5,56,69,27,54,13,32.507,-100.323
490,490,1,38,4,57,33,44,32.765,-102.644
491,491,3,15,99,30,26,94,32.204,-100.178
492,492,2,90,78,80,54,21,32.261,-102.43
493,493,1,26,7,72,44,68,31.575,-100.556
494,494,4,21,41,90,37,37,32.172,-101.905
495,495,4,86,12,17,96,100,31.842,-102.758
496,496,2,83,16,89,16,31,31.299,-100.087
497,497,2,31,97,86,50,62,31.291,-100.635
498,498,5,34,80,53,48,57,31.154,-100.405
499,499,0,51,65,95,35,88,32.917,-101.489
500,500,3,62,41,74,0,99,32.734,-102.619
501,501,5,58,81,85,89,45,32.741,-102.741
502,502,4,50,27,54,27,63,31.549,-101.678
503,503,2,43,70,73,16,72,32.745,-101.013
504,504,2,87,97,6,5,12,32.282,-101.118
505,505,0,15,20,56,58,0,32.962,-101.248
506,506,1,88,16,83,38,20,32.79,-101.878
507,507,0,83,46,32,10,47,32.36,-100.343
508,508,1,6,50,80,39,92,32.432,-102.041
509,509,3,83,11,90,12,0,31.437,-101.047
510,510,0,16,75,28,66,87,31.911,-102.962
511,511,0,89,43,15,54,88,31.27,-101.044
512,512,0,29,49,11,93,13,31.211,-101.717
513,513,2,38,17,48,99,96,32.79,-102.455
514,514,5,86,18,8,67,72,31.017,-100.501
515,515,5,21,56,44,92,27,32.286,-102.38
516,516,3,78,87,56,27,11,32.836,-102.589
517,517,1,96,15,75,93,49,31.719,-101.242
518,518,2,17,31,35,82,10,31.508,-100.734
519,519,4,76,92,77,36,99,32.927,-100.172
520,520,0,84,38,26,66,77,32.043,-102.228
521,521,5,50,37,82,6,100,32.838,-102.02
522,522,3,49,14,30,63,81,32.216,-102.71
523,523,4,1,46,40,16,49,32.762,-100.672
524,524,3,46,69,87,22,97,31.964,-102.702
525,525,0,75,8,1,33,27,31.081,-102.753
526,526,3,64,36,80,91,64,32.571,-101.299
527,527,3,89,51,10,81,68,32.101,-100.477
528,528,1,35,10,39,10,65,32.886,-102.168
529,529,1,68,41,50,75,81,32.563,-100.339
530,530,5,82,8,39,89,55,32.494,-102.023
531,531,0,31,11,55,14,58,32.253,-100.507
532,532,0,39,85,94,84,94,31.359,-102.511
533,533,0,90,17,89,1,20,32.016,-101.58
534,534,4,66,100,92,33,21,31.761,-102.481
535,535,5,99,34,93,15,98,32.842,-102.88
536,536,2,54,34,67,8,33,32.458,-100.639
537,537,5,9,63,58,65,46,31.113,-100.954
538,538,4,21,47,20,32,98,31.21,-100.65
539,539,5,92,14,29,94,65,31.005,-102.82
540,540,0,31,5,60,46,49,32.884,-102.386
541,541,1,4,70,91,94,83,31.858,-102.081
542,542,2,31,53,92,40,34,32.691,-102.681
543,543,4,47,15,64,86,6,31.367,-102.086
544,544,4,5,51,8,59,36,32.584,-101.728
545,545,2,11,70,58,1,47,31.41,-101.806
546,546,4,100,38,94,79,31,31.95,-101.492
547,547,4,63,98,99,25,93,32.844,-100.762
548,548,1,19,0,52,3,29,32.109,-101.582
549,549,5,88,1,42,0,97,32.346,-101.459
550,550,5,93,39,13,26,67,31.487,-101.281
551,551,3,7,18,91,35,11,31.089,-102.052
552,552,4,52,89,47,58,95,31.173,-100.622
553,553,0,64,17,81,50,9,32.212,-100.675
554,554,0,55,84,16,30,37,31.534,-101.71
